"ego","site_code","sex","group_id","dob","dod","father","mother"
"pe7131","PE","","","NA-99-99",NA,NA,NA
"pe7132","PE","","","NA-99-99",NA,NA,NA
"pe7133","PE","","","NA-99-99",NA,NA,NA
"pe7134","PE","","","NA-99-99",NA,NA,NA
"pe7135","PE","","","NA-99-99",NA,NA,NA
"pe7136","PE","","","NA-99-99",NA,NA,NA
"pe7137","PE","","","NA-99-99",NA,NA,NA
"pe7138","PE","","","NA-99-99",NA,NA,NA
"pe7140","PE","","","NA-99-99",NA,NA,NA
"pe7141","PE","","","NA-99-99",NA,NA,NA
"pe7142","PE","","","NA-99-99",NA,NA,NA
"pe7143","PE","","","NA-99-99",NA,NA,NA
"pe7144","PE","","","NA-99-99",NA,NA,NA
"pe7145","PE","","","NA-99-99",NA,NA,NA
"pe7146","PE","","","NA-99-99",NA,NA,NA
"pe7147","PE","","","NA-99-99",NA,NA,NA
"pe7148","PE","","","NA-99-99",NA,NA,NA
"pe7149","PE","","","NA-99-99",NA,NA,NA
"pe7150","PE","","","NA-99-99",NA,NA,NA
"pe7151","PE","","","NA-99-99",NA,NA,NA
"pe7152","PE","","","NA-99-99",NA,NA,NA
"pe7153","PE","","","NA-99-99",NA,NA,NA
"pe7154","PE","","","NA-99-99",NA,NA,NA
"pe7156","PE","","","NA-99-99",NA,NA,NA
"pe7157","PE","","","NA-99-99",NA,NA,NA
"pe7158","PE","","","NA-99-99",NA,NA,NA
"pe7159","PE","","","NA-99-99",NA,NA,NA
"pe7160","PE","","","NA-99-99",NA,NA,NA
"pe7161","PE","","","NA-99-99",NA,NA,NA
"pe7162","PE","","","NA-99-99",NA,NA,NA
"pe7163","PE","","","NA-99-99",NA,NA,NA
"pe7164","PE","","","NA-99-99",NA,NA,NA
"pe7165","PE","","","NA-99-99",NA,NA,NA
"pe7166","PE","","","NA-99-99",NA,NA,NA
"pe7167","PE","","","NA-99-99",NA,NA,NA
"pe7168","PE","","","NA-99-99",NA,NA,NA
"pe7169","PE","","","NA-99-99",NA,NA,NA
"pe7170","PE","","","NA-99-99",NA,NA,NA
"pe7171","PE","","","NA-99-99",NA,NA,NA
"pe7172","PE","","","NA-99-99",NA,NA,NA
"pe7173","PE","","","NA-99-99",NA,NA,NA
"pe7174","PE","","","NA-99-99",NA,NA,NA
"pe7175","PE","","","NA-99-99",NA,NA,NA
"pe7176","PE","","","NA-99-99",NA,NA,NA
"pe7177","PE","","","NA-99-99",NA,NA,NA
"pe7178","PE","","","NA-99-99",NA,NA,NA
"pe7179","PE","","","NA-99-99",NA,NA,NA
"pe7180","PE","","","NA-99-99",NA,NA,NA
"pe7181","PE","","","NA-99-99",NA,NA,NA
"pe7182","PE","","","NA-99-99",NA,NA,NA
"pe7183","PE","","","NA-99-99",NA,NA,NA
"pe7184","PE","","","NA-99-99",NA,NA,NA
"pe7185","PE","","","NA-99-99",NA,NA,NA
"pe7186","PE","","","NA-99-99",NA,NA,NA
"pe7187","PE","","","NA-99-99",NA,NA,NA
"pe7188","PE","","","NA-99-99",NA,NA,NA
"pe7189","PE","","","NA-99-99",NA,NA,NA
"pe7190","PE","","","NA-99-99",NA,NA,NA
"pe7191","PE","","","NA-99-99",NA,NA,NA
"pe7192","PE","","","NA-99-99",NA,NA,NA
"pe7193","PE","","","NA-99-99",NA,NA,NA
"pe7194","PE","","","NA-99-99",NA,NA,NA
"pe7195","PE","","","NA-99-99",NA,NA,NA
"pe7196","PE","","","NA-99-99",NA,NA,NA
"pe7197","PE","","","NA-99-99",NA,NA,NA
"pe7198","PE","","","NA-99-99",NA,NA,NA
"pe7199","PE","","","NA-99-99",NA,NA,NA
"pe7200","PE","","","NA-99-99",NA,NA,NA
"pe7201","PE","","","NA-99-99",NA,NA,NA
"pe7202","PE","","","NA-99-99",NA,NA,NA
"pe7203","PE","","","NA-99-99",NA,NA,NA
"pe7204","PE","","","NA-99-99",NA,NA,NA
"pe7205","PE","","","NA-99-99",NA,NA,NA
"pe7206","PE","","","NA-99-99",NA,NA,NA
"pe7207","PE","","","NA-99-99",NA,NA,NA
"pe7208","PE","","","NA-99-99",NA,NA,NA
"pe7209","PE","","","NA-99-99",NA,NA,NA
"pe7210","PE","","","NA-99-99",NA,NA,NA
"pe7211","PE","","","NA-99-99",NA,NA,NA
"pe7212","PE","","","NA-99-99",NA,NA,NA
"pe7213","PE","","","NA-99-99",NA,NA,NA
"pe7215","PE","","","NA-99-99",NA,NA,NA
"pe7216","PE","","","NA-99-99",NA,NA,NA
"pe7217","PE","","","NA-99-99",NA,NA,NA
"pe7218","PE","","","NA-99-99",NA,NA,NA
"pe7219","PE","","","NA-99-99",NA,NA,NA
"pe7220","PE","","","NA-99-99",NA,NA,NA
"pe7221","PE","","","NA-99-99",NA,NA,NA
"pe7222","PE","","","NA-99-99",NA,NA,NA
"pe7223","PE","","","NA-99-99",NA,NA,NA
"pe7224","PE","","","NA-99-99",NA,NA,NA
"pe7225","PE","","","NA-99-99",NA,NA,NA
"pe7226","PE","","","NA-99-99",NA,NA,NA
"pe7227","PE","","","NA-99-99",NA,NA,NA
"pe7228","PE","","","NA-99-99",NA,NA,NA
"pe7229","PE","","","NA-99-99",NA,NA,NA
"pe7230","PE","","","NA-99-99",NA,NA,NA
"pe7231","PE","","","NA-99-99",NA,NA,NA
"pe7232","PE","","","NA-99-99",NA,NA,NA
"pe7233","PE","","","NA-99-99",NA,NA,NA
"pe7234","PE","","","NA-99-99",NA,NA,NA
"pe7235","PE","","","NA-99-99",NA,NA,NA
"pe7236","PE","","","NA-99-99",NA,NA,NA
"pe7237","PE","","","NA-99-99",NA,NA,NA
"pe7238","PE","","","NA-99-99",NA,NA,NA
"pe7239","PE","","","NA-99-99",NA,NA,NA
"pe7240","PE","","","NA-99-99",NA,NA,NA
"pe7241","PE","","","NA-99-99",NA,NA,NA
"pe7242","PE","","","NA-99-99",NA,NA,NA
"pe7243","PE","","","NA-99-99",NA,NA,NA
"pe7244","PE","","","NA-99-99",NA,NA,NA
"pe7245","PE","","","NA-99-99",NA,NA,NA
"pe7246","PE","","","NA-99-99",NA,NA,NA
"pe7247","PE","","","NA-99-99",NA,NA,NA
"pe7248","PE","","","NA-99-99",NA,NA,NA
"pe7249","PE","","","NA-99-99",NA,NA,NA
"pe7250","PE","","","NA-99-99",NA,NA,NA
"pe7251","PE","","","NA-99-99",NA,NA,NA
"pe7252","PE","","","NA-99-99",NA,NA,NA
"pe7253","PE","","","NA-99-99",NA,NA,NA
"pe7254","PE","","","NA-99-99",NA,NA,NA
"pe7255","PE","","","NA-99-99",NA,NA,NA
"pe7256","PE","","","NA-99-99",NA,NA,NA
"pe7257","PE","","","NA-99-99",NA,NA,NA
"pe7258","PE","","","NA-99-99",NA,NA,NA
"pe7259","PE","","","NA-99-99",NA,NA,NA
"pe7260","PE","","","NA-99-99",NA,NA,NA
"pe7261","PE","","","NA-99-99",NA,NA,NA
"pe7262","PE","","","NA-99-99",NA,NA,NA
"pe7263","PE","","","NA-99-99",NA,NA,NA
"pe7264","PE","","","NA-99-99",NA,NA,NA
"pe7265","PE","","","NA-99-99",NA,NA,NA
"pe7266","PE","","","NA-99-99",NA,NA,NA
"pe7267","PE","","","NA-99-99",NA,NA,NA
"pe7268","PE","","","NA-99-99",NA,NA,NA
"pe7269","PE","","","NA-99-99",NA,NA,NA
"pe7270","PE","","","NA-99-99",NA,NA,NA
"pe7271","PE","","","NA-99-99",NA,NA,NA
"pe7272","PE","","","NA-99-99",NA,NA,NA
"pe7273","PE","","","NA-99-99",NA,NA,NA
"pe7274","PE","","","NA-99-99",NA,NA,NA
"pe7275","PE","","","NA-99-99",NA,NA,NA
"pe7276","PE","","","NA-99-99",NA,NA,NA
"pe7277","PE","","","NA-99-99",NA,NA,NA
"pe7278","PE","","","NA-99-99",NA,NA,NA
"pe7279","PE","","","NA-99-99",NA,NA,NA
"pe7280","PE","","","NA-99-99",NA,NA,NA
"pe7281","PE","","","NA-99-99",NA,NA,NA
"pe7282","PE","","","NA-99-99",NA,NA,NA
"pe7283","PE","","","NA-99-99",NA,NA,NA
"pe7284","PE","","","NA-99-99",NA,NA,NA
"pe7285","PE","","","NA-99-99",NA,NA,NA
"pe7286","PE","","","NA-99-99",NA,NA,NA
"pe7287","PE","","","NA-99-99",NA,NA,NA
"pe7288","PE","","","NA-99-99",NA,NA,NA
"pe7289","PE","","","NA-99-99",NA,NA,NA
"pe7290","PE","","","NA-99-99",NA,NA,NA
"pe7291","PE","","","NA-99-99",NA,NA,NA
"pe7292","PE","","","NA-99-99",NA,NA,NA
"pe7293","PE","","","NA-99-99",NA,NA,NA
"pe7294","PE","","","NA-99-99",NA,NA,NA
"pe7295","PE","","","NA-99-99",NA,NA,NA
"pe7296","PE","","","NA-99-99",NA,NA,NA
"pe7297","PE","","","NA-99-99",NA,NA,NA
"pe7298","PE","","","NA-99-99",NA,NA,NA
"pe7299","PE","","","NA-99-99",NA,NA,NA
"pe7300","PE","","","NA-99-99",NA,NA,NA
"pe7301","PE","","","NA-99-99",NA,NA,NA
"pe7302","PE","","","NA-99-99",NA,NA,NA
"pe7303","PE","","","NA-99-99",NA,NA,NA
"pe7304","PE","","","NA-99-99",NA,NA,NA
"pe7305","PE","","","NA-99-99",NA,NA,NA
"pe7306","PE","","","NA-99-99",NA,NA,NA
"pe7307","PE","","","NA-99-99",NA,NA,NA
"pe7308","PE","","","NA-99-99",NA,NA,NA
"pe7309","PE","","","NA-99-99",NA,NA,NA
"pe7310","PE","","","NA-99-99",NA,NA,NA
"pe7311","PE","","","NA-99-99",NA,NA,NA
"pe7312","PE","","","NA-99-99",NA,NA,NA
"pe7313","PE","","","NA-99-99",NA,NA,NA
"pe7314","PE","","","NA-99-99",NA,NA,NA
"pe7315","PE","","","NA-99-99",NA,NA,NA
"pe7316","PE","","","NA-99-99",NA,NA,NA
"pe7317","PE","","","NA-99-99",NA,NA,NA
"pe7318","PE","","","NA-99-99",NA,NA,NA
"pe7319","PE","","","NA-99-99",NA,NA,NA
"pe7320","PE","","","NA-99-99",NA,NA,NA
"pe7321","PE","","","NA-99-99",NA,NA,NA
"pe7322","PE","","","NA-99-99",NA,NA,NA
"pe7323","PE","","","NA-99-99",NA,NA,NA
"pe7324","PE","","","NA-99-99",NA,NA,NA
"pe7325","PE","","","NA-99-99",NA,NA,NA
"pe7326","PE","","","NA-99-99",NA,NA,NA
"pe7327","PE","","","NA-99-99",NA,NA,NA
"pe7328","PE","","","NA-99-99",NA,NA,NA
"pe7329","PE","","","NA-99-99",NA,NA,NA
"pe7330","PE","","","NA-99-99",NA,NA,NA
"pe7331","PE","","","NA-99-99",NA,NA,NA
"pe7332","PE","","","NA-99-99",NA,NA,NA
"pe7333","PE","","","NA-99-99",NA,NA,NA
"pe7334","PE","","","NA-99-99",NA,NA,NA
"pe7335","PE","","","NA-99-99",NA,NA,NA
"pe7336","PE","","","NA-99-99",NA,NA,NA
"pe7337","PE","","","NA-99-99",NA,NA,NA
"pe7338","PE","","","NA-99-99",NA,NA,NA
"pe7339","PE","","","NA-99-99",NA,NA,NA
"pe7340","PE","","","NA-99-99",NA,NA,NA
"pe7341","PE","","","NA-99-99",NA,NA,NA
"pe7342","PE","","","NA-99-99",NA,NA,NA
"pe7343","PE","","","NA-99-99",NA,NA,NA
"pe7344","PE","","","NA-99-99",NA,NA,NA
"pe7345","PE","","","NA-99-99",NA,NA,NA
"pe7346","PE","","","NA-99-99",NA,NA,NA
"pe7347","PE","","","NA-99-99",NA,NA,NA
"pe7348","PE","","","NA-99-99",NA,NA,NA
"pe7349","PE","","","NA-99-99",NA,NA,NA
"pe7350","PE","","","NA-99-99",NA,NA,NA
"pe7351","PE","","","NA-99-99",NA,NA,NA
"pe7352","PE","","","NA-99-99",NA,NA,NA
"pe7353","PE","","","NA-99-99",NA,NA,NA
"pe7354","PE","","","NA-99-99",NA,NA,NA
"pe7355","PE","","","NA-99-99",NA,NA,NA
"pe7356","PE","","","NA-99-99",NA,NA,NA
"pe7357","PE","","","NA-99-99",NA,NA,NA
"pe7358","PE","","","NA-99-99",NA,NA,NA
"pe7359","PE","","","NA-99-99",NA,NA,NA
"pe7360","PE","","","NA-99-99",NA,NA,NA
"pe7361","PE","","","NA-99-99",NA,NA,NA
"pe7362","PE","","","NA-99-99",NA,NA,NA
"pe7363","PE","","","NA-99-99",NA,NA,NA
"pe7364","PE","","","NA-99-99",NA,NA,NA
"pe7365","PE","","","NA-99-99",NA,NA,NA
"pe7366","PE","","","NA-99-99",NA,NA,NA
"pe7367","PE","","","NA-99-99",NA,NA,NA
"pe7368","PE","","","NA-99-99",NA,NA,NA
"pe7369","PE","","","NA-99-99",NA,NA,NA
"pe7370","PE","","","NA-99-99",NA,NA,NA
"pe7371","PE","","","NA-99-99",NA,NA,NA
"pe7372","PE","","","NA-99-99",NA,NA,NA
"pe7373","PE","","","NA-99-99",NA,NA,NA
"pe7374","PE","","","NA-99-99",NA,NA,NA
"pe7375","PE","","","NA-99-99",NA,NA,NA
"pe7376","PE","","","NA-99-99",NA,NA,NA
"pe7377","PE","","","NA-99-99",NA,NA,NA
"pe7378","PE","","","NA-99-99",NA,NA,NA
"pe7379","PE","","","NA-99-99",NA,NA,NA
"pe7380","PE","","","NA-99-99",NA,NA,NA
"pe7382","PE","","","NA-99-99",NA,NA,NA
"pe7383","PE","","","NA-99-99",NA,NA,NA
"pe7384","PE","","","NA-99-99",NA,NA,NA
"pe7385","PE","","","NA-99-99",NA,NA,NA
"pe7386","PE","","","NA-99-99",NA,NA,NA
"pe7387","PE","","","NA-99-99",NA,NA,NA
"pe7388","PE","","","NA-99-99",NA,NA,NA
"pe7389","PE","","","NA-99-99",NA,NA,NA
"pe7390","PE","","","NA-99-99",NA,NA,NA
"pe7391","PE","","","NA-99-99",NA,NA,NA
"pe7392","PE","","","NA-99-99",NA,NA,NA
"pe7393","PE","","","NA-99-99",NA,NA,NA
"pe7394","PE","","","NA-99-99",NA,NA,NA
"pe7395","PE","","","NA-99-99",NA,NA,NA
"pe7396","PE","","","NA-99-99",NA,NA,NA
"pe7397","PE","","","NA-99-99",NA,NA,NA
"pe7398","PE","","","NA-99-99",NA,NA,NA
"pe7399","PE","","","NA-99-99",NA,NA,NA
"pe7400","PE","","","NA-99-99",NA,NA,NA
"pe7401","PE","","","NA-99-99",NA,NA,NA
"pe7403","PE","","","NA-99-99",NA,NA,NA
"pe7404","PE","","","NA-99-99",NA,NA,NA
"pe7405","PE","","","NA-99-99",NA,NA,NA
"pe7406","PE","","","NA-99-99",NA,NA,NA
"pe7407","PE","","","NA-99-99",NA,NA,NA
"pe7408","PE","","","NA-99-99",NA,NA,NA
"pe7409","PE","","","NA-99-99",NA,NA,NA
"pe7410","PE","","","NA-99-99",NA,NA,NA
"pe7411","PE","","","NA-99-99",NA,NA,NA
"pe7412","PE","","","NA-99-99",NA,NA,NA
"pe7413","PE","","","NA-99-99",NA,NA,NA
"pe7414","PE","","","NA-99-99",NA,NA,NA
"pe7415","PE","","","NA-99-99",NA,NA,NA
"pe7416","PE","","","NA-99-99",NA,NA,NA
"pe7417","PE","","","NA-99-99",NA,NA,NA
"pe7418","PE","","","NA-99-99",NA,NA,NA
"pe7419","PE","","","NA-99-99",NA,NA,NA
"pe7420","PE","","","NA-99-99",NA,NA,NA
"pe7421","PE","","","NA-99-99",NA,NA,NA
"pe7422","PE","","","NA-99-99",NA,NA,NA
"pe7423","PE","","","NA-99-99",NA,NA,NA
"pe7425","PE","","","NA-99-99",NA,NA,NA
"pe7426","PE","","","NA-99-99",NA,NA,NA
"pe7427","PE","","","NA-99-99",NA,NA,NA
"pe7428","PE","","","NA-99-99",NA,NA,NA
"pe7429","PE","","","NA-99-99",NA,NA,NA
"pe7430","PE","","","NA-99-99",NA,NA,NA
"pe7431","PE","","","NA-99-99",NA,NA,NA
"pe7432","PE","","","NA-99-99",NA,NA,NA
"pe7433","PE","","","NA-99-99",NA,NA,NA
"pe7434","PE","","","NA-99-99",NA,NA,NA
"pe7435","PE","","","NA-99-99",NA,NA,NA
"pe7436","PE","","","NA-99-99",NA,NA,NA
"pe7437","PE","","","NA-99-99",NA,NA,NA
"pe7438","PE","","","NA-99-99",NA,NA,NA
"pe7439","PE","","","NA-99-99",NA,NA,NA
"pe7440","PE","","","NA-99-99",NA,NA,NA
"pe7441","PE","","","NA-99-99",NA,NA,NA
"pe7442","PE","","","NA-99-99",NA,NA,NA
"pe7443","PE","","","NA-99-99",NA,NA,NA
"pe7444","PE","","","NA-99-99",NA,NA,NA
"pe7445","PE","","","NA-99-99",NA,NA,NA
"pe7446","PE","","","NA-99-99",NA,NA,NA
"pe7447","PE","","","NA-99-99",NA,NA,NA
"pe7448","PE","","","NA-99-99",NA,NA,NA
"pe7449","PE","","","NA-99-99",NA,NA,NA
"pe7450","PE","","","NA-99-99",NA,NA,NA
"pe7451","PE","","","NA-99-99",NA,NA,NA
"pe7452","PE","","","NA-99-99",NA,NA,NA
"pe7453","PE","","","NA-99-99",NA,NA,NA
"pe7454","PE","","","NA-99-99",NA,NA,NA
"pe7455","PE","","","NA-99-99",NA,NA,NA
"pe7456","PE","","","NA-99-99",NA,NA,NA
"pe7457","PE","","","NA-99-99",NA,NA,NA
"pe7458","PE","","","NA-99-99",NA,NA,NA
"pe7459","PE","","","NA-99-99",NA,NA,NA
"pe7460","PE","","","NA-99-99",NA,NA,NA
"pe7461","PE","","","NA-99-99",NA,NA,NA
"pe7462","PE","","","NA-99-99",NA,NA,NA
"pe7463","PE","","","NA-99-99",NA,NA,NA
"pe7464","PE","","","NA-99-99",NA,NA,NA
"pe7465","PE","","","NA-99-99",NA,NA,NA
"pe7466","PE","","","NA-99-99",NA,NA,NA
"pe7467","PE","","","NA-99-99",NA,NA,NA
"pe7468","PE","","","NA-99-99",NA,NA,NA
"pe7469","PE","","","NA-99-99",NA,NA,NA
"pe7470","PE","","","NA-99-99",NA,NA,NA
"pe7471","PE","","","NA-99-99",NA,NA,NA
"pe7472","PE","","","NA-99-99",NA,NA,NA
"pe7473","PE","","","NA-99-99",NA,NA,NA
"pe7474","PE","","","NA-99-99",NA,NA,NA
"pe7475","PE","","","NA-99-99",NA,NA,NA
"pe7476","PE","","","NA-99-99",NA,NA,NA
"pe7477","PE","","","NA-99-99",NA,NA,NA
"pe7478","PE","","","NA-99-99",NA,NA,NA
"pe7479","PE","","","NA-99-99",NA,NA,NA
"pe7480","PE","","","NA-99-99",NA,NA,NA
"pe7481","PE","","","NA-99-99",NA,NA,NA
"pe7482","PE","","","NA-99-99",NA,NA,NA
"pe7483","PE","","","NA-99-99",NA,NA,NA
"pe7484","PE","","","NA-99-99",NA,NA,NA
"pe7485","PE","","","NA-99-99",NA,NA,NA
"pe7486","PE","","","NA-99-99",NA,NA,NA
"pe7487","PE","","","NA-99-99",NA,NA,NA
"pe7488","PE","","","NA-99-99",NA,NA,NA
"pe7489","PE","","","NA-99-99",NA,NA,NA
"pe7490","PE","","","NA-99-99",NA,NA,NA
"pe7491","PE","","","NA-99-99",NA,NA,NA
"pe7492","PE","","","NA-99-99",NA,NA,NA
"pe7493","PE","","","NA-99-99",NA,NA,NA
"pe7494","PE","","","NA-99-99",NA,NA,NA
"pe7495","PE","","","NA-99-99",NA,NA,NA
"pe7496","PE","","","NA-99-99",NA,NA,NA
"pe7497","PE","","","NA-99-99",NA,NA,NA
"pe7498","PE","","","NA-99-99",NA,NA,NA
"pe7499","PE","","","NA-99-99",NA,NA,NA
"pe7500","PE","","","NA-99-99",NA,NA,NA
"pe7501","PE","","","NA-99-99",NA,NA,NA
"pe7502","PE","","","NA-99-99",NA,NA,NA
"pe7503","PE","","","NA-99-99",NA,NA,NA
"pe7504","PE","","","NA-99-99",NA,NA,NA
"pe7505","PE","","","NA-99-99",NA,NA,NA
"pe7506","PE","","","NA-99-99",NA,NA,NA
"pe7507","PE","","","NA-99-99",NA,NA,NA
"pe7508","PE","","","NA-99-99",NA,NA,NA
"pe7510","PE","","","NA-99-99",NA,NA,NA
"pe9001","PE","","","NA-99-99",NA,"0","0"
"pe9002","PE","","","NA-99-99",NA,"0","0"
"pe9003","PE","","","NA-99-99",NA,"0","0"
"pe9004","PE","","","NA-99-99",NA,"0","0"
"pe9005","PE","","","NA-99-99",NA,"0","0"
"pe9006","PE","","","NA-99-99",NA,"0","0"
"pe9008","PE","","","NA-99-99",NA,"0","0"
"pe9009","PE","","","NA-99-99",NA,"0","0"
"pe9010","PE","","","NA-99-99",NA,"0","0"
"pe9012","PE","","","NA-99-99",NA,"0","0"
"pe9013","PE","","","NA-99-99",NA,"0","0"
"pe9014","PE","","","NA-99-99",NA,"0","0"
"pe9015","PE","","","NA-99-99",NA,"0","0"
"pe9016","PE","","","NA-99-99",NA,"0","0"
"pe9017","PE","","","NA-99-99",NA,"0","0"
"pe9018","PE","","","NA-99-99",NA,"0","0"
"pe9019","PE","","","NA-99-99",NA,"0","0"
"pe9020","PE","","","NA-99-99",NA,"0","0"
"pe9021","PE","","","NA-99-99",NA,"0","0"
"pe9022","PE","","","NA-99-99",NA,"pe9053","pe9147"
"pe9023","PE","","","NA-99-99",NA,"pe9079","pe9002"
"pe9024","PE","","","NA-99-99",NA,"0","0"
"pe9025","PE","","","NA-99-99",NA,"0","0"
"pe9026","PE","","","NA-99-99",NA,"pe9151","pe9170"
"pe9027","PE","","","NA-99-99",NA,"0","0"
"pe9028","PE","","","NA-99-99",NA,"pe9111","pe9119"
"pe9029","PE","","","NA-99-99",NA,"0","0"
"pe9030","PE","","","NA-99-99",NA,"0","0"
"pe9031","PE","","","NA-99-99",NA,"0","0"
"pe9032","PE","","","NA-99-99",NA,"0","0"
"pe9033","PE","","","NA-99-99",NA,"0","0"
"pe9034","PE","","","NA-99-99",NA,"0","0"
"pe9035","PE","","","NA-99-99",NA,"0","0"
"pe9036","PE","","","NA-99-99",NA,"0","0"
"pe9037","PE","","","NA-99-99",NA,"0","0"
"pe9038","PE","","","NA-99-99",NA,"pe9070","pe9181"
"pe9039","PE","","","NA-99-99",NA,"0","0"
"pe9040","PE","","","NA-99-99",NA,"pe9024","pe9142"
"pe9041","PE","","","NA-99-99",NA,"0","0"
"pe9042","PE","","","NA-99-99",NA,"0","0"
"pe9043","PE","","","NA-99-99",NA,"0","0"
"pe9044","PE","","","NA-99-99",NA,"0","0"
"pe9045","PE","","","NA-99-99",NA,"0","0"
"pe9046","PE","","","NA-99-99",NA,"pe9195","pe9033"
"pe9047","PE","","","NA-99-99",NA,"pe9051","pe9073"
"pe9048","PE","","","NA-99-99",NA,"0","0"
"pe9049","PE","","","NA-99-99",NA,"pe9057","pe9127"
"pe9051","PE","","","NA-99-99",NA,"0","0"
"pe9052","PE","","","NA-99-99",NA,"0","0"
"pe9053","PE","","","NA-99-99",NA,"0","0"
"pe9054","PE","","","NA-99-99",NA,"0","0"
"pe9055","PE","","","NA-99-99",NA,"pe9183","pe9005"
"pe9056","PE","","","NA-99-99",NA,"0","0"
"pe9057","PE","","","NA-99-99",NA,"0","0"
"pe9058","PE","","","NA-99-99",NA,"pe9016","pe9009"
"pe9059","PE","","","NA-99-99",NA,"0","0"
"pe9060","PE","","","NA-99-99",NA,"0","0"
"pe9061","PE","","","NA-99-99",NA,"pe9018","pe9034"
"pe9062","PE","","","NA-99-99",NA,"pe9918","pe9919"
"pe9063","PE","","","NA-99-99",NA,"pe9185","pe9135"
"pe9064","PE","","","NA-99-99",NA,"pe9100","pe9158"
"pe9065","PE","","","NA-99-99",NA,"pe9146","pe9175"
"pe9066","PE","","","NA-99-99",NA,"0","0"
"pe9067","PE","","","NA-99-99",NA,"0","0"
"pe9068","PE","","","NA-99-99",NA,"0","0"
"pe9069","PE","","","NA-99-99",NA,"pe9101","pe9192"
"pe9070","PE","","","NA-99-99",NA,"0","0"
"pe9071","PE","","","NA-99-99",NA,"0","0"
"pe9072","PE","","","NA-99-99",NA,"0","0"
"pe9073","PE","","","NA-99-99",NA,"0","0"
"pe9074","PE","","","NA-99-99",NA,"0","0"
"pe9075","PE","","","NA-99-99",NA,"0","0"
"pe9076","PE","","","NA-99-99",NA,"pe9708","pe9709"
"pe9077","PE","","","NA-99-99",NA,"pe9121","pe9001"
"pe9078","PE","","","NA-99-99",NA,"0","0"
"pe9079","PE","","","NA-99-99",NA,"0","0"
"pe9080","PE","","","NA-99-99",NA,"pe9068","pe9155"
"pe9081","PE","","","NA-99-99",NA,"0","0"
"pe9082","PE","","","NA-99-99",NA,"0","0"
"pe9083","PE","","","NA-99-99",NA,"pe9117","pe9014"
"pe9084","PE","","","NA-99-99",NA,"0","0"
"pe9085","PE","","","NA-99-99",NA,"0","0"
"pe9086","PE","","","NA-99-99",NA,"pe9178","pe9193"
"pe9087","PE","","","NA-99-99",NA,"0","0"
"pe9088","PE","","","NA-99-99",NA,"0","0"
"pe9089","PE","","","NA-99-99",NA,"0","0"
"pe9090","PE","","","NA-99-99",NA,"pe9702","pe9703"
"pe9091","PE","","","NA-99-99",NA,"0","0"
"pe9092","PE","","","NA-99-99",NA,"0","0"
"pe9093","PE","","","NA-99-99",NA,"0","0"
"pe9094","PE","","","NA-99-99",NA,"0","0"
"pe9095","PE","","","NA-99-99",NA,"0","0"
"pe9096","PE","","","NA-99-99",NA,"0","0"
"pe9097","PE","","","NA-99-99",NA,"0","0"
"pe9099","PE","","","NA-99-99",NA,"0","0"
"pe9100","PE","","","NA-99-99",NA,"0","0"
"pe9101","PE","","","NA-99-99",NA,"0","0"
"pe9102","PE","","","NA-99-99",NA,"0","0"
"pe9103","PE","","","NA-99-99",NA,"pe9729","pe9094"
"pe9104","PE","","","NA-99-99",NA,"pe9801","pe9802"
"pe9105","PE","","","NA-99-99",NA,"pe9102","pe9199"
"pe9106","PE","","","NA-99-99",NA,"0","0"
"pe9107","PE","","","NA-99-99",NA,"pe9132","pe9707"
"pe9108","PE","","","NA-99-99",NA,"0","0"
"pe9109","PE","","","NA-99-99",NA,"pe9145","pe9004"
"pe9110","PE","","","NA-99-99",NA,"pe9177","pe9044"
"pe9111","PE","","","NA-99-99",NA,"0","0"
"pe9112","PE","","","NA-99-99",NA,"pe9187","pe9118"
"pe9113","PE","","","NA-99-99",NA,"0","0"
"pe9114","PE","","","NA-99-99",NA,"pe9188","pe9164"
"pe9115","PE","","","NA-99-99",NA,"0","0"
"pe9116","PE","","","NA-99-99",NA,"0","0"
"pe9117","PE","","","NA-99-99",NA,"0","0"
"pe9118","PE","","","NA-99-99",NA,"0","0"
"pe9119","PE","","","NA-99-99",NA,"0","0"
"pe9120","PE","","","NA-99-99",NA,"0","0"
"pe9121","PE","","","NA-99-99",NA,"0","0"
"pe9122","PE","","","NA-99-99",NA,"pe9089","pe9113"
"pe9123","PE","","","NA-99-99",NA,"pe9134","pe9006"
"pe9124","PE","","","NA-99-99",NA,"0","0"
"pe9125","PE","","","NA-99-99",NA,"pe9025","pe9190"
"pe9126","PE","","","NA-99-99",NA,"pe9037","pe9157"
"pe9127","PE","","","NA-99-99",NA,"0","0"
"pe9128","PE","","","NA-99-99",NA,"0","0"
"pe9129","PE","","","NA-99-99",NA,"0","0"
"pe9130","PE","","","NA-99-99",NA,"pe9054","pe9159"
"pe9131","PE","","","NA-99-99",NA,"0","0"
"pe9132","PE","","","NA-99-99",NA,"0","0"
"pe9133","PE","","","NA-99-99",NA,"0","0"
"pe9134","PE","","","NA-99-99",NA,"0","0"
"pe9135","PE","","","NA-99-99",NA,"0","0"
"pe9136","PE","","","NA-99-99",NA,"0","0"
"pe9137","PE","","","NA-99-99",NA,"pe9087","pe9128"
"pe9138","PE","","","NA-99-99",NA,"pe9093","pe9029"
"pe9139","PE","","","NA-99-99",NA,"0","0"
"pe9140","PE","","","NA-99-99",NA,"0","0"
